Country,year,Age,nmxM,nmxF,nmxB,lxB,start_year,end_year,lx,Female,np20_period
India,2016,20,0.001155987,0.001002673,0.00108307,1000,2015,2017,1000,0,1
India,2016,20,0.001155987,0.001002673,0.00108307,1000,2015,2017,1000,1,1
India,2016,21,0.001250303,0.00104789,0.001153917,998.9175162,2015,2017,998.8446811,0,0.998844681
India,2016,21,0.001250303,0.00104789,0.001153917,998.9175162,2015,2017,998.9978291,1,0.998997829
India,2016,22,0.001353693,0.001097803,0.001231647,997.7655133,2015,2017,997.5966025,0,0.997596603
India,2016,22,0.001353693,0.001097803,0.001231647,997.7655133,2015,2017,997.9515375,1,0.997951537
India,2016,23,0.001458153,0.001147223,0.00130961,996.537375,2015,2017,996.2470761,0,0.996247076
India,2016,23,0.001458153,0.001147223,0.00130961,996.537375,2015,2017,996.856584,1,0.996856584
India,2016,24,0.001553143,0.001189967,0.001379407,995.2331537,2015,2017,994.7954534,0,0.994795453
India,2016,24,0.001553143,0.001189967,0.001379407,995.2331537,2015,2017,995.7136224,1,0.995713622
India,2016,25,0.001626163,0.001219323,0.001431303,993.8612687,2015,2017,993.2515924,0,0.993251592
India,2016,25,0.001626163,0.001219323,0.001431303,993.8612687,2015,2017,994.529461,1,0.994529461
India,2016,26,0.001675727,0.001234497,0.00146426,992.439769,2015,2017,991.6377153,0,0.991637715
India,2016,26,0.001675727,0.001234497,0.00146426,992.439769,2015,2017,993.3175469,1,0.993317547
India,2016,27,0.00171398,0.0012414,0.001487507,990.9876423,2015,2017,989.9773927,0,0.989977393
India,2016,27,0.00171398,0.0012414,0.001487507,990.9876423,2015,2017,992.0920561,1,0.992092056
India,2016,28,0.001755437,0.001246663,0.00151173,989.5146372,2015,2017,988.2820441,0,0.988282044
India,2016,28,0.001755437,0.001246663,0.00151173,989.5146372,2015,2017,990.861237,1,0.990861237
India,2016,29,0.001816147,0.0012571,0.00154843,988.019888,2015,2017,986.5486989,0,0.986548699
India,2016,29,0.001816147,0.0012571,0.00154843,988.019888,2015,2017,989.6267361,1,0.989626736
India,2016,30,0.00191443,0.001279683,0.001610493,986.4911919,2015,2017,984.7586074,0,0.984758607
India,2016,30,0.00191443,0.001279683,0.001610493,986.4911919,2015,2017,988.3834578,1,0.988383458
India,2016,31,0.002059333,0.001318027,0.001704403,984.9037327,2015,2017,982.8751588,0,0.982875159
India,2016,31,0.002059333,0.001318027,0.001704403,984.9037327,2015,2017,987.1194487,1,0.987119449
India,2016,32,0.002243427,0.001371007,0.001825743,983.2264889,2015,2017,980.8531732,0,0.980853173
India,2016,32,0.002243427,0.001371007,0.001825743,983.2264889,2015,2017,985.8192558,1,0.985819256
India,2016,33,0.002454833,0.00143728,0.00196763,981.4330069,2015,2017,978.6551666,0,0.978655167
India,2016,33,0.002454833,0.00143728,0.00196763,981.4330069,2015,2017,984.4686169,1,0.984468617
India,2016,34,0.002676,0.001515377,0.002120133,979.5038078,2015,2017,976.2556764,0,0.976255676
India,2016,34,0.002676,0.001515377,0.002120133,979.5038078,2015,2017,983.054676,1,0.983054676
India,2016,35,0.00288247,0.00160349,0.00226944,977.4293282,2015,2017,973.646707,0,0.973646707
India,2016,35,0.00288247,0.00160349,0.00226944,977.4293282,2015,2017,981.5661057,1,0.981566106
India,2016,36,0.0030587,0.00170054,0.00240687,975.2136252,2015,2017,970.8442386,0,0.970844239
India,2016,36,0.0030587,0.00170054,0.00240687,975.2136252,2015,2017,979.9934352,1,0.979993435
India,2016,37,0.00321547,0.00180724,0.002538583,972.8692341,2015,2017,967.8792518,0,0.967879252
India,2016,37,0.00321547,0.00180724,0.002538583,972.8692341,2015,2017,978.3283329,1,0.978328333
India,2016,38,0.00337049,0.001924613,0.002674523,970.4026553,2015,2017,964.7720607,0,0.964772061
India,2016,38,0.00337049,0.001924613,0.002674523,970.4026553,2015,2017,976.561855,1,0.976561855
India,2016,39,0.003545577,0.002053803,0.0028265,967.8107568,2015,2017,961.5257769,0,0.961525777
India,2016,39,0.003545577,0.002053803,0.0028265,967.8107568,2015,2017,974.684158,1,0.974684158
India,2016,40,0.003767263,0.00219609,0.00300868,965.0791002,2015,2017,958.1226466,0,0.958122647
India,2016,40,0.003767263,0.00219609,0.00300868,965.0791002,2015,2017,972.684402,1,0.972684402
India,2016,41,0.00405557,0.00235322,0.00323215,962.1798475,2015,2017,954.5199324,0,0.954519932
India,2016,41,0.00405557,0.00235322,0.00323215,962.1798475,2015,2017,970.5506425,1,0.970550642
India,2016,42,0.00440403,0.002527973,0.00349495,959.0749557,2015,2017,950.6566439,0,0.950656644
India,2016,42,0.00440403,0.002527973,0.00349495,959.0749557,2015,2017,968.2694074,1,0.968269407
India,2016,43,0.004798093,0.002723783,0.003791283,955.7288838,2015,2017,946.4791225,0,0.946479123
India,2016,43,0.004798093,0.002723783,0.003791283,955.7288838,2015,2017,965.8247382,1,0.965824738
India,2016,44,0.00521616,0.00294477,0.004111993,952.1123006,2015,2017,941.9486961,0,0.941948696
India,2016,44,0.00521616,0.00294477,0.004111993,952.1123006,2015,2017,963.1976187,1,0.963197619
India,2016,45,0.005627777,0.003195967,0.00444389,948.205254,2015,2017,937.048122,0,0.937048122
India,2016,45,0.005627777,0.003195967,0.00444389,948.205254,2015,2017,960.3653934,1,0.960365393
India,2016,46,0.00600798,0.003483547,0.004777283,944.0008761,2015,2017,931.7894219,0,0.931789422
India,2016,46,0.00600798,0.003483547,0.004777283,944.0008761,2015,2017,957.3009945,1,0.957300994
India,2016,47,0.006373423,0.003815197,0.005124697,939.5018629,2015,2017,926.2080162,0,0.926208016
India,2016,47,0.006373423,0.003815197,0.005124697,939.5018629,2015,2017,953.9719901,1,0.95397199
India,2016,48,0.006756173,0.004200373,0.005507323,934.6995062,2015,2017,920.3236521,0,0.920323652
India,2016,48,0.006756173,0.004200373,0.005507323,934.6995062,2015,2017,950.339329,1,0.950339329
India,2016,49,0.007196837,0.00465083,0.005951737,929.5659499,2015,2017,914.1267198,0,0.91412672
India,2016,49,0.007196837,0.00465083,0.005951737,929.5659499,2015,2017,946.355915,1,0.946355915
India,2016,50,0.007746773,0.00518126,0.00649133,924.0498334,2015,2017,907.5714876,0,0.907571488
India,2016,50,0.007746773,0.00518126,0.00649133,924.0498334,2015,2017,941.9647857,1,0.941964786
India,2016,51,0.008458443,0.005806193,0.007159877,918.0709265,2015,2017,900.5678647,0,0.900567865
India,2016,51,0.008458443,0.005806193,0.007159877,918.0709265,2015,2017,937.0968323,1,0.937096832
India,2016,52,0.00933679,0.006524687,0.00795926,911.5210998,2015,2017,892.9825425,0,0.892982542
India,2016,52,0.00933679,0.006524687,0.00795926,911.5210998,2015,2017,931.6716168,1,0.931671617
India,2016,53,0.01036602,0.007324567,0.00887527,904.2948243,2015,2017,884.6836943,0,0.884683694
India,2016,53,0.01036602,0.007324567,0.00887527,904.2948243,2015,2017,925.6125183,1,0.925612518
India,2016,54,0.011515807,0.00818244,0.00988079,896.3044221,2015,2017,875.5603319,0,0.875560332
India,2016,54,0.011515807,0.00818244,0.00988079,896.3044221,2015,2017,918.8575464,1,0.918857546
India,2016,55,0.012734893,0.009060787,0.010931033,887.4917643,2015,2017,865.5352717,0,0.865535272
India,2016,55,0.012734893,0.009060787,0.010931033,887.4917643,2015,2017,911.3696841,1,0.911369684
India,2016,56,0.013958837,0.00991636,0.011971607,877.8432961,2015,2017,854.5825135,0,0.854582513
India,2016,56,0.013958837,0.00991636,0.011971607,877.8432961,2015,2017,903.1491998,1,0.9031492
India,2016,57,0.015173647,0.010751817,0.012996407,867.3966331,2015,2017,842.736216,0,0.842736216
India,2016,57,0.015173647,0.010751817,0.012996407,867.3966331,2015,2017,894.2374334,1,0.894237433
India,2016,58,0.016393147,0.011598063,0.014027553,856.1963753,2015,2017,830.0451196,0,0.83004512
India,2016,58,0.016393147,0.011598063,0.014027553,856.1963753,2015,2017,884.6741677,1,0.884674168
India,2016,59,0.017640607,0.012499613,0.015098673,844.2696861,2015,2017,816.5486926,0,0.816548693
India,2016,59,0.017640607,0.012499613,0.015098673,844.2696861,2015,2017,874.4728186,1,0.874472819
India,2016,60,0.018949147,0.013515903,0.0162559,831.6178469,2015,2017,802.2702188,0,0.802270219
India,2016,60,0.018949147,0.013515903,0.0162559,831.6178469,2015,2017,863.6101362,1,0.863610136
India,2016,61,0.020360447,0.014716977,0.017555243,818.2081438,2015,2017,787.2105665,0,0.787210567
India,2016,61,0.020360447,0.014716977,0.017555243,818.2081438,2015,2017,852.0160175,1,0.852016018
India,2016,62,0.021910117,0.01613093,0.019029107,803.969284,2015,2017,771.3441316,0,0.771344132
India,2016,62,0.021910117,0.01613093,0.019029107,803.969284,2015,2017,839.5685125,1,0.839568513
India,2016,63,0.023634233,0.017759487,0.020696983,788.8146563,2015,2017,754.6270285,0,0.754627029
India,2016,63,0.023634233,0.017759487,0.020696983,788.8146563,2015,2017,826.1338484,1,0.826133848
India,2016,64,0.025577337,0.019597117,0.022578567,772.6557924,2015,2017,737.0002944,0,0.737000294
India,2016,64,0.025577337,0.019597117,0.022578567,772.6557924,2015,2017,811.5912697,1,0.81159127
India,2016,65,0.027794763,0.0216274,0.024693097,755.4050802,2015,2017,718.3878186,0,0.718387819
India,2016,65,0.027794763,0.0216274,0.024693097,755.4050802,2015,2017,795.8407533,1,0.795840753
India,2016,66,0.030350143,0.023822437,0.027053933,736.9792845,2015,2017,698.6940904,0,0.69869409
India,2016,66,0.030350143,0.023822437,0.027053933,736.9792845,2015,2017,778.8129208,1,0.778812921
India,2016,67,0.03325956,0.02617354,0.02965448,717.3071997,2015,2017,677.8056088,0,0.677805609
India,2016,67,0.03325956,0.02617354,0.02965448,717.3071997,2015,2017,760.4780895,1,0.76047809
India,2016,68,0.036493033,0.02868904,0.03248299,696.3466153,2015,2017,655.6308538,0,0.655630854
India,2016,68,0.036493033,0.02868904,0.03248299,696.3466153,2015,2017,740.8308053,1,0.740830805
India,2016,69,0.039995813,0.031378593,0.035526247,674.0886971,2015,2017,632.1336376,0,0.632133638
India,2016,69,0.039995813,0.031378593,0.035526247,674.0886971,2015,2017,719.8776438,1,0.719877644
India,2016,70,0.043681973,0.034253137,0.03875835,650.5588198,2015,2017,607.3466269,0,0.607346627
India,2016,70,0.043681973,0.034253137,0.03875835,650.5588198,2015,2017,697.6378231,1,0.697637823
India,2016,71,0.047436873,0.037325967,0.04212893,625.8235819,2015,2017,581.3835862,0,0.581383586
India,2016,71,0.047436873,0.037325967,0.04212893,625.8235819,2015,2017,674.1439095,1,0.67414391
India,2016,72,0.051233793,0.04062475,0.04563048,600.0022173,2015,2017,554.4435424,0,0.554443542
India,2016,72,0.051233793,0.04062475,0.04563048,600.0022173,2015,2017,649.4418505,1,0.649441851
India,2016,73,0.055149013,0.04419419,0.04932306,573.2345391,2015,2017,526.7468011,0,0.526746801
